from,to,strength,direction
ATP5IF1,SELENOK,0.964285714,0.774234694
ATP5IF1,PHPT1,0.955357143,0.798044218
BRD1,MYH9,0.857142857,0.53962585
BRD1,IL31RA,0.8125,0.67329932
BRD1,PRELID1,0.830357143,0.769727891
BRD1,ZMIZ1,0.892857143,0.691751701
G6PD,CD99L2,1,0.669642857
G6PD,LY9,0.732142857,0.523384354
G6PD,SRC,0.714285714,0.853741497
HSPA9,PSMD11,0.803571429,0.738180272
HSPA9,HSPD1,1,0.946428571
HSPA9,DNAJA3,0.821428571,0.647363946
HSPA9,TCF7,0.741071429,0.89744898
HSPA9,FBXO38,0.973214286,0.709183673
HSPA9,PRELID1,0.866071429,0.651105442
ISG15,IFNL1,0.991071429,0.928571429
ISG15,LGALS9,0.8125,0.748129252
ISG15,STAT1,0.776785714,0.661309524
ISG15,SAMHD1,0.875,0.989795918
ISG15,RSAD2,1,0.848214286
AP2A1,KDELR1,1,0.580357143
AP2A1,PRKD2,1,0.991071429
AP2A1,RELB,0.910714286,0.57287415
ARF1,CBFB,0.973214286,0.530612245
ARF1,DNAJA3,0.910714286,0.588010204
ARF1,DUSP10,0.758928571,0.640646259
ARF1,ZBTB7B,0.910714286,0.821003401
ARF1,SEC31A,0.821428571,0.635034014
ARF1,NCSTN,0.946428571,0.771683673
CAPZA2,CAV1,0.910714286,0.792517007
CTSH,IL4,0.8125,0.682142857
CTSH,ELF1,0.830357143,0.511564626
CYBB,NLRP3,0.839285714,0.834608844
CYBB,HAVCR2,0.794642857,0.853061224
CYBB,PTPRC,0.928571429,0.553571429
CYBB,CLEC4A,0.705357143,0.840901361
CYBB,LILRB2,0.830357143,0.654846939
FCGR1A,IL2RA,0.8125,0.666496599
FCGR1A,IL10,0.848214286,0.613095238
FCGR1A,CTSS,0.776785714,0.908248299
FCGR1A,FCGR1B,1,0.973214286
PSMD11,G6PD,0.75,0.677891156
PSMD11,PSME3,1,0.964285714
PSMD11,PAK1,0.955357143,0.915816327
PSMD11,FBXO38,0.803571429,0.604846939
PSMD11,TNFSF9,0.803571429,0.617602041
PSMD11,SOD1,0.973214286,0.522959184
PSMD11,SLC7A1,0.705357143,0.703571429
PSME3,AP2A1,0.848214286,0.684863946
PSME3,CSK,0.785714286,0.523554422
PSME3,STAT5B,0.928571429,0.665986395
PSME3,STAT3,1,0.678571429
RAB5B,STAT6,0.991071429,0.845663265
RAB5B,SMAP1,0.857142857,0.788435374
RAB5B,DCTN2,0.803571429,0.571768707
RAB5B,LMBR1L,0.892857143,0.658758503
RAB7A,PSMD11,0.857142857,0.56164966
RAB7A,RAB5B,0.848214286,0.636904762
RAB7A,SRF,0.875,0.756547619
RAB7A,GPNMB,0.714285714,0.531802721
RAB7A,PPP3CB,0.767857143,0.721343537
BATF,CARD11,0.758928571,0.572704082
BATF,PSEN1,0.892857143,0.521768707
BATF,BTN3A1,0.821428571,0.544812925
CTNNBL1,LYN,0.741071429,0.522193878
CTNNBL1,CDK6,1,0.625
CTNNBL1,PSMF1,0.883928571,0.607568027
CTNNBL1,STAT3,0.803571429,0.721938776
CTNNBL1,SRC,1,0.803571429
CTNNBL1,GNL1,0.866071429,0.533673469
DCLRE1C,SMAD7,0.830357143,0.618622449
EXOSC3,IFNB1,0.857142857,0.566751701
PRKDC,DROSHA,0.75,0.88707483
PRKDC,SCRIB,0.928571429,0.682397959
PRKDC,EXOSC3,0.794642857,0.758503401
PRKDC,LYN,0.982142857,0.790816327
PRKDC,PTPN11,0.839285714,0.849489796
PRKDC,BCL2,0.714285714,0.929591837
PRKDC,CXCL16,0.723214286,0.967857143
PRKDC,DYNC1H1,0.901785714,0.888180272
PRKDC,PMS2,0.901785714,0.931122449
PRKDC,MTOR,0.919642857,0.575255102
PRKDC,RC3H2,0.830357143,0.716411565
RNF8,DUSP22,0.767857143,0.534693878
RNF8,GNL1,0.9375,0.62244898
CCL3,IL1B,0.9375,0.543792517
CCL3,CD83,0.946428571,0.709183673
CCL3,EGR3,0.857142857,0.763945578
CCL3,LCK,0.776785714,0.743792517
GABPA,CBFB,0.741071429,0.618409864
GABPA,G6PD,0.8125,0.534481293
GABPA,CXADR,1,0.830357143
GABPA,STARD7,0.830357143,0.507185374
ID2,LEF1,0.803571429,0.562414966
ID2,BCL2,0.982142857,0.682397959
ID2,SMAD7,0.892857143,0.62797619
TMEM176A,TMEM176B,1,1
TMEM176A,WNT4,0.732142857,0.689795918
TMEM176A,SYK,0.866071429,0.614370748
TNFAIP3,NLRP3,0.910714286,0.50212585
TNFAIP3,PRDM1,0.946428571,0.605102041
TNFAIP3,IL18R1,0.758928571,0.907482993
TNFRSF13B,BLK,1,0.995535714
CD300A,IL1B,0.839285714,0.549404762
CD300A,CD1D,0.758928571,0.71292517
CD300A,CLEC4D,0.758928571,0.65042517
CD300A,FCGR2B,1,0.669642857
CD300A,SLC11A1,0.892857143,0.721938776
CD300A,CD80,0.776785714,0.584098639
CD300A,TNF,0.776785714,0.786904762
CD300A,SLC12A2,0.75,0.791496599
CD83,BTN2A2,0.830357143,0.537755102
CD83,AP2A1,0.723214286,0.566666667
HLA-E,HLA-DPA1,0.901785714,0.858843537
HLA-E,HLA-DPB1,0.767857143,0.823809524
HLA-E,GNL1,0.794642857,0.799064626
NLRP3,IL1B,0.973214286,0.679846939
NLRP3,CORO1A,0.767857143,0.507057823
NLRP3,GPR174,0.803571429,0.512414966
AKT1,RNF8,0.883928571,0.650510204
AKT1,PSEN1,0.785714286,0.573129252
AKT1,ELF4,0.723214286,0.65994898
AKT1,DYNC1H1,1,0.723214286
AKT1,PSME2,0.705357143,0.669217687
CD81,CXCL16,0.875,0.906037415
CD81,PDIA3,0.919642857,0.558673469
FYN,ICAM1,0.973214286,0.507653061
FYN,SLC4A1,0.741071429,0.662755102
ICOS,CCR4,0.910714286,0.621173469
ICOS,TIGIT,0.910714286,0.521683673
ICOS,CTLA4,0.991071429,0.883928571
LYN,ANXA1,0.892857143,0.543707483
PTPN11,HSPA9,0.705357143,0.655272109
PTPN11,RAB5B,0.946428571,0.634353741
PTPN11,HSPD1,0.910714286,0.555442177
PTPN11,NSD2,0.866071429,0.76335034
PTPN11,LRCH1,0.758928571,0.820408163
ACOD1,IL27,0.803571429,0.573894558
ACOD1,IL21,1,0.517857143
BLK,BANK1,0.875,0.892176871
BLK,SASH3,0.705357143,0.649404762
BLK,CCR6,0.705357143,0.690221088
BLK,TNFRSF13C,1,0.982142857
BLK,CR1,0.767857143,0.874744898
HAVCR2,CD300A,0.892857143,0.893282313
HAVCR2,CD86,1,0.982142857
HAVCR2,GPNMB,0.758928571,0.828316327
HAVCR2,SLC11A1,0.803571429,0.869387755
HAVCR2,CD80,0.705357143,1
HAVCR2,FCER1G,1,0.758928571
HAVCR2,PTCRA,0.964285714,0.795068027
HAVCR2,IL10,0.821428571,0.968962585
IL2RA,CD83,0.741071429,0.501360544
IL2RA,NLRP3,0.75,0.557397959
IL2RA,CLEC4G,0.732142857,0.911734694
IL2RA,CLEC4A,0.767857143,0.515646259
IL2RA,SLA2,0.75,0.522704082
IL2RA,CR1,0.991071429,0.701530612
TGFBR2,VSIR,0.758928571,0.545153061
TGFBR2,DROSHA,0.723214286,0.739540816
TGFBR2,RHOA,0.910714286,0.66037415
TGFBR2,OXSR1,0.883928571,0.647959184
CD46,CD55,0.964285714,0.619897959
CD46,ARF1,0.973214286,0.540816327
CD46,DENND1B,0.8125,0.565221088
CD46,KIT,0.758928571,0.65085034
FGL2,IGFBP2,0.741071429,0.801615646
FGL2,RASGRP1,0.758928571,0.724659864
FGL2,FBXO38,0.866071429,0.600212585
FGL2,CLC,0.892857143,0.696003401
FGL2,RSAD2,0.776785714,0.744302721
FGL2,SPNS2,0.883928571,0.668962585
FGL2,ITGA4,0.883928571,0.589880952
IFNL1,IFNB1,0.767857143,0.779761905
IFNL1,RSAD2,0.964285714,0.617346939
PCK1,SOCS1,0.705357143,0.591156463
BCL11B,ADAM17,0.8125,0.617942177
BCL11B,CYLD,0.901785714,0.521683673
CDK6,SRF,0.767857143,0.728401361
CDK6,PPP2R3C,0.714285714,0.665816327
CLPTM1,NECTIN2,1,0.986607143
CLPTM1,PRKD2,0.732142857,0.624659864
CLPTM1,PVR,1,0.991071429
CLPTM1,RELB,0.982142857,0.829081633
EGR3,PTGER4,0.776785714,0.573129252
GLI3,IGFBP2,0.723214286,0.922278912
GLI3,HLX,0.732142857,0.760119048
IHH,IL23R,0.892857143,0.621938776
IHH,TMEM176A,0.785714286,0.525
IHH,TOX,0.767857143,0.605697279
IHH,SRC,0.741071429,0.93962585
IL1A,IL1B,0.964285714,0.651785714
IL1A,ADAM17,0.705357143,0.81207483
IL1A,ZC3H12A,0.946428571,0.741071429
IL1A,IL20RB,0.723214286,0.838265306
SRF,RNF8,1,0.535714286
SRF,GNL1,0.982142857,0.789540816
CD86,CD300A,0.741071429,0.786904762
CD86,FCGR2B,0.821428571,0.923044218
CD86,CD80,1,0.973214286
CD86,PTCRA,0.821428571,0.786734694
CD86,GPR183,0.8125,1
CLEC4G,CD28,0.732142857,0.641071429
CLEC4G,CD1B,0.767857143,0.74005102
CLEC4G,CR1,0.821428571,0.780102041
NFKBID,GPI,0.892857143,0.869047619
NFKBID,NFKBIZ,0.910714286,0.970238095
NFKBID,TNFRSF14,0.955357143,0.802295918
NFKBID,STK11,0.919642857,0.963010204
NFKBID,ZFP36,0.705357143,0.586054422
NFKBID,GNRH1,0.803571429,0.768962585
NFKBID,LMBR1L,0.821428571,0.913860544
ABL1,CTSL,0.8125,0.62244898
ABL1,TSC1,0.973214286,0.651785714
BCL3,LYN,0.767857143,0.547619048
BCL3,CEBPB,0.803571429,0.881802721
BCL3,CCL20,0.723214286,0.755527211
BCL3,RELB,0.946428571,0.628826531
FOXP3,ICOS,0.9375,0.525510204
FOXP3,CCR4,0.732142857,0.548639456
PSAP,RUNX3,0.714285714,0.654336735
PSAP,GPNMB,0.785714286,0.512329932
PSAP,PPP3CB,0.848214286,0.55952381
PSAP,NCSTN,0.848214286,0.552806122
CD27,IGKC,1,0.732142857
CD27,TNFRSF13B,1,0.883928571
CD27,LY9,0.982142857,0.788690476
CD27,IRF4,0.776785714,0.945748299
CD27,HLA-DOB,0.794642857,0.975510204
PRKCZ,KIT,0.866071429,0.74744898
FOXJ1,IDO1,0.714285714,0.96122449
FOXJ1,SCGB1A1,1,0.879464286
FOXJ1,MAPK8IP1,0.946428571,0.897534014
FOXJ1,IL12A,0.785714286,0.859183673
FOXJ1,MYB,0.785714286,0.817772109
FOXJ1,FLOT2,0.794642857,0.754421769
FOXJ1,SMAP1,0.758928571,0.941496599
FOXJ1,SAMHD1,0.866071429,1
FOXJ1,PRR7,0.964285714,0.963010204
GPNMB,CTSS,0.973214286,0.754676871
GPNMB,RAB29,0.732142857,0.779336735
PDE5A,PTGER4,0.928571429,0.825255102
PDE5A,ZEB1,0.991071429,0.614795918
SCGB1A1,PDE5A,0.705357143,0.779591837
SCGB1A1,NFATC2,0.758928571,0.851785714
SCGB1A1,HSPH1,0.964285714,0.870748299
SCGB1A1,RIPOR2,0.732142857,0.812244898
SCGB1A1,SAMHD1,0.973214286,0.964285714
SCGB1A1,IL7,0.892857143,0.863945578
CD1C,HLA-DOA,0.776785714,0.799659864
CD1C,FCGR1A,0.75,0.57329932
CD1C,CD1D,0.883928571,0.836479592
CD1C,FUT7,0.892857143,0.715561224
CD1C,CORO1A,0.803571429,0.646258503
CD1C,AIF1,0.910714286,0.653061224
CD1C,CCR6,0.991071429,0.514030612
CD1C,CD1B,1,1
CD1C,CLEC4A,0.919642857,0.650510204
FUT7,NOD2,0.776785714,0.70170068
ATP7A,G6PD,0.991071429,0.522959184
ATP7A,RNF8,0.758928571,0.709183673
ATP7A,RAB29,0.839285714,0.728316327
SEMA4A,RASGRP1,0.883928571,0.56207483
CLEC4D,CLEC4E,0.839285714,0.967687075
CLEC4D,IL18RAP,0.75,0.68835034
CLEC4E,RELB,0.928571429,0.573894558
CD3E,FOXP3,0.839285714,0.9375
CD3E,SLAMF6,0.919642857,0.715561224
CD3E,ITGAL,0.767857143,0.592942177
CD3E,CD3D,0.982142857,0.68877551
CD3E,CCL5,0.9375,0.945153061
CD3E,CXCR3,0.767857143,0.989795918
CD3E,IKZF1,0.821428571,0.664455782
CD3E,TIGIT,0.946428571,0.991071429
CD3E,LCK,0.8125,0.961309524
CD3E,SLA2,0.785714286,0.903401361
CD3E,SH2D1A,0.732142857,0.669727891
CD3E,CD3G,0.883928571,0.88494898
CD3E,UBASH3A,0.928571429,0.522108844
CD3E,PIK3CG,0.830357143,0.919387755
GBP1,IFNG,0.9375,0.537414966
GBP1,CD274,0.973214286,0.991071429
GBP1,CXCL10,0.991071429,1
GBP1,IL18R1,0.794642857,0.778061224
GBP1,MAFB,0.839285714,0.501785714
GBP1,STAT1,1,0.982142857
GBP1,PSME2,0.883928571,1
GBP1,CXCL11,0.946428571,1
NFKB1,IL4R,0.758928571,0.659268707
NFKB1,ELF1,0.910714286,0.782057823
NFKB1,SEC31A,0.910714286,0.639880952
NFKB1,PELI1,0.75,0.694387755
NFKB1,RELB,0.991071429,0.604591837
NFKB1,CASP3,0.794642857,0.895153061
NFKBIZ,PVRIG,0.723214286,0.802040816
NFKBIZ,RELB,0.705357143,0.572619048
PSMF1,PRNP,1,0.607142857
PSMF1,SHLD1,1,0.892857143
PSMF1,SOX12,1,0.6875
SPN,CCL3,0.705357143,0.610544218
SPN,CD83,0.776785714,0.95
SPN,NLRP3,0.785714286,0.560204082
SPN,CD1D,0.732142857,0.913435374
SPN,JAML,1,1
SPN,LILRB4,0.741071429,0.517091837
SPN,CLEC4A,0.75,0.553571429
SPN,PTPN6,0.714285714,0.95170068
IFNG,ACOD1,0.767857143,0.643962585
IFNG,CCR4,0.758928571,0.787329932
IFNG,LAG3,0.982142857,0.931760204
IFNG,IL18RAP,0.919642857,0.867346939
IFNG,PRF1,0.75,0.865221088
IL4R,DNAJA3,0.955357143,0.531887755
NCKAP1L,CYBB,0.991071429,0.991071429
NCKAP1L,HAVCR2,0.955357143,0.87202381
NCKAP1L,PSAP,0.866071429,1
NCKAP1L,SPN,0.973214286,0.890306122
NCKAP1L,GIMAP8,0.892857143,1
NCKAP1L,SASH3,0.723214286,0.830782313
NCKAP1L,APBB1IP,0.794642857,1
NCKAP1L,SAMHD1,0.982142857,1
NCKAP1L,SYK,0.723214286,0.989795918
NCKAP1L,P2RX7,0.714285714,1
NCKAP1L,CR1,0.741071429,0.940391156
ADA,RAG1,0.883928571,0.53537415
ADA,NRARP,0.767857143,0.738945578
BCL10,MYH9,0.946428571,0.541241497
BCL10,LGALS3,0.776785714,0.576020408
BCL10,PTPN22,0.705357143,0.529846939
CYLD,CBFB,1,0.642857143
CYLD,ATP7A,0.714285714,0.865221088
CYLD,RC3H1,0.705357143,0.511309524
CYLD,NOD2,1,0.776785714
DGKZ,AP2A1,0.75,0.791666667
DGKZ,MAPK8IP1,0.9375,0.518282313
DGKZ,MDK,1,0.669642857
DUSP22,LOXL3,0.705357143,0.607738095
EZR,PRKCZ,0.803571429,0.516156463
EZR,VAMP3,0.803571429,0.631292517
EZR,STX7,0.973214286,0.735969388
LGALS3,PSEN1,0.991071429,0.521683673
LGALS3,RIPK3,0.741071429,0.604761905
PTPN22,HLA-DQA2,0.705357143,0.508673469
PTPN22,SLC22A13,0.741071429,0.566836735
RC3H1,FOXP1,0.767857143,0.796088435
RC3H1,APLF,0.8125,0.505187075
RC3H1,BRD1,0.946428571,0.583758503
RC3H1,EXOSC6,0.794642857,0.809098639
RC3H1,CD160,0.776785714,0.904081633
RC3H1,NFKBIZ,0.714285714,0.836564626
RC3H1,GPR18,0.883928571,0.726105442
RC3H1,DENND1B,1,0.651785714
RC3H1,MARCHF7,0.883928571,0.703656463
RC3H1,GNRH1,1,0.5625
RC3H1,ZBTB1,0.839285714,0.879421769
RC3H1,TRAF6,0.901785714,0.826105442
CD274,ANXA1,0.892857143,0.894982993
CD274,EXOSC3,0.901785714,0.711734694
CD274,TBX21,0.928571429,0.56505102
CD274,HIF1A,0.866071429,0.87244898
HLA-DPB1,HLA-DOA,1,0.830357143
HLA-DPB1,CD74,1,0.982142857
HLA-DPB1,PRF1,0.830357143,0.755272109
HLA-DPB1,HLA-DRA,1,0.991071429
HLA-DPB1,HLA-DQB2,0.741071429,0.976190476
HLA-DPB1,HLA-DOB,0.758928571,0.913520408
IL6ST,CCR2,0.732142857,0.719302721
IL6ST,GABPA,0.75,0.706717687
IL6ST,TGFBR2,0.732142857,0.506632653
IL6ST,CSK,0.723214286,0.549744898
IL6ST,TOX,0.901785714,0.677295918
IL6ST,IL31RA,0.982142857,0.595663265
IL6ST,FBXO38,0.892857143,0.777210884
IL6ST,ZBTB16,0.714285714,0.517687075
CSK,RUNX3,0.794642857,0.861564626
CSK,ADAM10,0.794642857,0.570068027
CSK,ADA,0.821428571,0.626785714
CSK,DGKZ,0.848214286,0.857993197
CSK,CD99,0.741071429,0.644047619
CSK,RAC2,0.758928571,0.720833333
CSK,TMEM102,0.705357143,0.698979592
HSPD1,GPI,0.741071429,0.78707483
HSPD1,PSME3,0.892857143,0.655527211
HSPD1,DNAJA3,0.714285714,0.6375
HSPD1,HSPH1,0.901785714,0.832057823
HSPD1,STAT1,0.866071429,0.715646259
HSPD1,ZC3H8,0.839285714,0.528826531
ARG2,LEF1,0.857142857,0.703656463
ARG2,SMAP1,0.8125,0.624744898
ARG2,XG,0.767857143,0.554761905
LGALS9C,ADAM10,0.785714286,0.91420068
LGALS9C,IL23R,0.732142857,0.891326531
LGALS9C,DNM2,0.741071429,0.902295918
LGALS9C,IHH,0.767857143,0.735034014
LGALS9C,CSK,0.946428571,0.923044218
LGALS9C,LGALS9B,1,0.830357143
BCL2,CAMK4,0.839285714,0.843962585
CD74,LGALS9,0.767857143,0.83537415
IL15,TMEM131L,0.9375,0.728316327
HLX,PTGER4,0.776785714,0.951530612
HLX,ITM2A,0.75,0.850765306
HLX,PDE4B,0.776785714,0.96122449
HLX,ABL1,0.723214286,0.815646259
HLX,CAMK4,0.714285714,0.989795918
HLX,LRCH1,0.785714286,0.929591837
HLX,ITGA4,0.803571429,0.871938776
RUNX1,DROSHA,0.741071429,0.645918367
RUNX1,IGFBP2,0.875,0.700255102
RUNX1,RARA,0.705357143,0.780527211
RUNX1,PELI1,0.991071429,0.68494898
TBX21,CXCR3,0.785714286,0.550510204
FCGR2B,CLEC4E,0.758928571,0.545578231
HLA-F,HLA-E,0.919642857,0.772959184
HLA-F,HLA-A,0.982142857,0.640943878
HLA-F,HLA-B,1,0.638392857
LILRB1,ACOD1,0.8125,0.688520408
LILRB1,LILRB4,0.973214286,0.971938776
LILRB1,LILRB2,1,0.928571429
KDELR1,BCL2L11,0.732142857,0.651020408
KDELR1,PRKD2,0.973214286,0.62244898
KDELR1,DDOST,0.776785714,0.631122449
SLC11A1,AGER,0.767857143,0.507823129
SLC11A1,TCIRG1,0.973214286,0.520408163
SLC11A1,IL27,0.848214286,0.774744898
SLC11A1,GIMAP8,0.794642857,0.697193878
SLC11A1,PLA2G2D,0.839285714,0.734353741
FAS,ANXA1,0.883928571,0.673469388
FAS,LYN,0.776785714,0.652380952
FAS,IL15,0.875,0.605442177
FAS,IL27RA,0.723214286,0.652040816
GIMAP8,ITM2A,0.866071429,0.911139456
GIMAP8,HLA-E,0.8125,0.904506803
GIMAP8,CAV1,0.732142857,0.901020408
GIMAP8,TGFBR2,0.919642857,0.989795918
GIMAP8,TNFSF4,0.830357143,0.700255102
GIMAP8,WNT5A,0.803571429,0.989795918
